Date: 2022-12-05 10:31:15
Device: FAKE DEVICE
Serialno: 0000000
Version: 0000000

#Summary#
value	occurrence
1	1
129	1
2	1
3	2

#Markers#
value	duration_ms	occurrence	start_time_s	end_time_s
1	0.018799999728798866	1	4607.1285774	4607.128596199999
129	0.05810000002384186	1	4607.128596199999	4607.1286543
3	200.0498999999836	1	4607.228670199999	4607.4287201
2	100.02410000003874	1	4607.6287683	4607.728792399999
3	0.013399999588727951	2	4607.8288107	4607.8288241

#Errors#
time_ms	error
4607128.5962	Marker with value 129 was sent within 10 ms after previous marker with value 1
4607128.6543	Marker with value 0 was sent within 10 ms after previous marker with value 129
4607328.6899	Marker with value 3 is sent twice in a row.
4607828.8241	Marker with value 0 was sent within 10 ms after previous marker with value 3
